name,material_type,seating_type,speed,height,length,num_inversions,manufacturer,park,status,lat,lng
Texas Tornado,Steel,Sit Down,,,914.0,0.0,Harry G Traver,Frontierland Family Theme Park,status.closed.definitely,48.8719865,2.7764109
Stampede,Steel,Sit Down,,,,0.0,Pinfari,Frontierland Family Theme Park,status.closed.definitely,48.8719865,2.7764109
Runaway Mine Train,Steel,Sit Down,,,,0.0,na,Frontierland Family Theme Park,status.closed.definitely,48.8719865,2.7764109
Rattler,Steel,Sit Down,,,,0.0,Pinfari,Frontierland Family Theme Park,status.closed.definitely,48.8719865,2.7764109
Runaway Mine Train,Steel,Sit Down,,,,0.0,Barbisan,M&D Scotland's Theme Park,status.operating,53.35395399999999,-6.2575162
Tsunami,Steel,Inverted,61.0,20.0,350.0,2.0,Pinfari,M&D Scotland's Theme Park,status.closed.definitely,53.35395399999999,-6.2575162
Tornado,na,Sit Down,72.0,24.0,,2.0,Pinfari,M&D Scotland's Theme Park,status.operating,53.35395399999999,-6.2575162
Big Apple,na,Sit Down,,,,,Pinfari,M&D Scotland's Theme Park,status.operating,53.35395399999999,-6.2575162
Mad Mouse,na,Spinning,,,,,Fabbri,M&D Scotland's Theme Park,status.operating,53.35395399999999,-6.2575162
Space Coaster,na,Sit Down,,11.0,325.0,,Pinfari,M&D Scotland's Theme Park,status.closed.definitely,53.35395399999999,-6.2575162
Sky Was Roller Coaster,Steel,Sit Down,,,,0.0,Pinfari,Brean Leisure Park,status.closed.definitely,51.2838827,-3.0107303
Astro Storm,Steel,Sit Down,45.0,11.0,,0.0,Zierer,Brean Leisure Park,status.operating,51.2838827,-3.0107303
Caterpillar,na,Sit Down,,,,,D.P.V. Rides,Brean Leisure Park,status.operating,51.2838827,-3.0107303
Magic Mouse,na,Spinning,47.0,13.0,420.0,,Reverchon,Brean Leisure Park,status.operating,51.2838827,-3.0107303
Crazy Loop,na,Sit Down,,11.0,365.0,0.0,Pinfari,Brean Leisure Park,status.operating,51.2838827,-3.0107303
Anaconda,Steel,Sit Down,48.0,11.0,250.0,0.0,L&T Systems,Zoo de Granby,status.operating,45.419792,-72.72398299999999
Cyclone,Wooden,Sit Down,,29.0,914.0,0.0,Harry G Traver,Crystal Beach,status.closed.definitely,40.0256861,18.0198929
Backety-Back Scenic Railway,Wooden,Sit Down,16.0,,,0.0,John H. Brown,Crystal Beach,status.closed.definitely,40.0256861,18.0198929
Comet,Steel,Sit Down,89.0,29.0,1279.0,0.0,Philadelphia Toboggan Coaster,Crystal Beach,status.closed.definitely,40.0256861,18.0198929
Figure 8,Steel,Sit Down,,,,0.0,T. M. Harton,Crystal Beach,status.closed.definitely,40.0256861,18.0198929
Flitzer,Steel,Sit Down,,,,0.0,Zierer,Crystal Beach,status.closed.definitely,40.0256861,18.0198929
Flying Coaster,Steel,Sit Down,,4.0,,0.0,Schiff,Crystal Beach,status.closed.definitely,40.0256861,18.0198929
Galaxi,Steel,Sit Down,,,,0.0,S.D.C.,Crystal Beach,status.closed.definitely,40.0256861,18.0198929
Giant Coaster,Steel,Sit Down,,18.0,801.0,0.0,T. M. Harton,Crystal Beach,status.closed.definitely,40.0256861,18.0198929
Little Dipper,Steel,Sit Down,,,,0.0,Herschell,Crystal Beach,status.closed.definitely,40.0256861,18.0198929
Wild Mouse,Steel,Sit Down,,,,0.0,na,Crystal Beach,status.closed.definitely,40.0256861,18.0198929
Stingray,Steel,Flying,75.0,34.0,370.0,2.0,Vekoma,Suzhou Giant Wheel Park,status.closed.definitely,31.315155,120.713452
